,FoodItem,Raw_Foodcategory,Standard_Food_Category,Energy,Fat,Carb,Sugar,Protein,Sodium,Fiber,Saturated,Trans-Fats,Monounsaturated,Polyunsaturated,Cholesterol,Calcium,Magnesium,Potassium,Iron,Zinc,Phosphorus,Vitamin A,Vitamin C,Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B9 (Folic Acid),Vitamin B12 (Cobalamin),Vitamin D,Vitamin E (Alpha Tocopherol),Vitamin K
0,Tomato Rice (Thakkali Sadam) || JHDB,Rice based Dishes,Rice based Dishes,341.88 (kcal/24 H),11.7 (gm),52.78 (gm),3.03 (gm),6.5 (gm),331.71 (mg),3.43 (gm),1.65 (gm),0.0 (gm),4.43 (gm),4.27 (gm),0.0 (mg),76.06 (mg),40.29 (mg),334.53 (mg),3.92 (mg),0.98 (mg),104.34 (mg),263.83 (ug),12.9 (mg),0.39 (mg),0.07 (mg),3.07 (mg),0.2 (mg),243.14 (ug),0.0 (ug),0.0 (ug),2.01 (mg),27.86 (ug)
0,Peas Pulao | Matar Pulao || JHDB,Rice based Dishes,Rice based Dishes,416.62 (kcal/24 H),15.22 (gm),61.1 (gm),3.23 (gm),8.19 (gm),274.14 (mg),4.42 (gm),2.19 (gm),0.0 (gm),6.21 (gm),6.12 (gm),0.0 (mg),76.56 (mg),42.34 (mg),238.61 (mg),4.37 (mg),1.33 (mg),129.07 (mg),93.5 (ug),16.51 (mg),0.5 (mg),0.1 (mg),3.66 (mg),0.22 (mg),287.31 (ug),0.0 (ug),0.0 (ug),1.98 (mg),28.66 (ug)
0,Lemon Rice | Chitranna Recipe || JHDB,Rice based Dishes,Rice based Dishes,402.94 (kcal/24 H),15.04 (gm),60.42 (gm),0.7 (gm),6.33 (gm),554.69 (mg),2.58 (gm),2.18 (gm),0.0 (gm),5.93 (gm),6.2 (gm),0.0 (mg),54.58 (mg),32.98 (mg),195.57 (mg),1.68 (mg),1.08 (mg),109.0 (mg),341.09 (ug),6.23 (mg),0.08 (mg),0.08 (mg),1.66 (mg),0.21 (mg),18.38 (ug),0.0 (ug),0.0 (ug),1.7 (mg),11.99 (ug)
0,Jeera Rice || JHDB,Rice based Dishes,Rice based Dishes,217.56 (kcal/24 H),8.05 (gm),32.29 (gm),0.11 (gm),3.69 (gm),594.85 (mg),1.47 (gm),1.19 (gm),0.0 (gm),3.31 (gm),3.12 (gm),0.0 (mg),65.52 (mg),24.25 (mg),89.55 (mg),2.82 (mg),0.56 (mg),53.19 (mg),16.39 (ug),0.46 (mg),0.24 (mg),0.03 (mg),1.73 (mg),0.08 (mg),152.6 (ug),0.0 (ug),0.0 (ug),1.04 (mg),11.3 (ug)
0,Fried Rice Recipe || JHDB,Rice based Dishes,Rice based Dishes,396.13 (kcal/24 H),14.66 (gm),56.79 (gm),2.96 (gm),8.46 (gm),1565.09 (mg),3.32 (gm),2.16 (gm),0.0 (gm),5.75 (gm),5.93 (gm),0.0 (mg),81.56 (mg),37.92 (mg),437.62 (mg),4.33 (mg),0.94 (mg),110.72 (mg),591.25 (ug),23.13 (mg),0.4 (mg),0.1 (mg),3.38 (mg),0.21 (mg),266.66 (ug),0.0 (ug),0.0 (ug),0.64 (mg),34.6 (ug)
0,Ghee Rice Recipe || JHDB,Rice based Dishes,Rice based Dishes,633.82 (kcal/24 H),27.1 (gm),88.84 (gm),4.65 (gm),10.83 (gm),407.72 (mg),5.06 (gm),13.49 (gm),0.01 (gm),9.28 (gm),2.2 (gm),49.12 (mg),130.01 (mg),79.87 (mg),321.58 (mg),6.22 (mg),1.96 (mg),186.45 (mg),124.2 (ug),3.04 (mg),0.6 (mg),0.11 (mg),4.35 (mg),0.26 (mg),385.1 (ug),0.0 (ug),0.0 (ug),0.65 (mg),12.83 (ug)
0,Mushroom Biryani (South Indian ) || JHDB,Rice based Dishes,Rice based Dishes,615.9 (kcal/24 H),19.61 (gm),98.65 (gm),7.13 (gm),13.56 (gm),516.91 (mg),9.14 (gm),2.97 (gm),0.01 (gm),7.24 (gm),6.49 (gm),0.0 (mg),161.08 (mg),75.02 (mg),901.37 (mg),9.27 (mg),1.74 (mg),177.07 (mg),368.01 (ug),73.26 (mg),0.66 (mg),0.14 (mg),5.1 (mg),0.36 (mg),416.29 (ug),0.0 (ug),0.0 (ug),2.73 (mg),41.37 (ug)
0,Tawa Pulao || JHDB,Rice based Dishes,Rice based Dishes,410.69 (kcal/24 H),8.54 (gm),72.98 (gm),6.28 (gm),10.14 (gm),312.5 (mg),6.4 (gm),4.84 (gm),0.0 (gm),2.4 (gm),0.69 (gm),19.59 (mg),138.99 (mg),66.38 (mg),825.65 (mg),4.39 (mg),1.65 (mg),201.99 (mg),1344.47 (ug),73.07 (mg),0.54 (mg),0.15 (mg),4.38 (mg),0.83 (mg),247.84 (ug),0.02 (ug),0.0 (ug),1.01 (mg),20.03 (ug)
0,Corn Pulao || JHDB,Rice based Dishes,Rice based Dishes,756.18 (kcal/24 H),18.89 (gm),135.87 (gm),11.22 (gm),16.55 (gm),450.29 (mg),8.73 (gm),3.85 (gm),0.01 (gm),6.99 (gm),6.91 (gm),0.0 (mg),228.0 (mg),116.25 (mg),908.97 (mg),4.48 (mg),2.74 (mg),347.25 (mg),260.49 (ug),85.18 (mg),0.42 (mg),0.24 (mg),4.53 (mg),1.13 (mg),77.32 (ug),0.0 (ug),0.0 (ug),2.59 (mg),35.87 (ug)
0,Schezwan Fried Rice || JHDB,Rice based Dishes,Rice based Dishes,365.1 (kcal/24 H),10.66 (gm),59.26 (gm),3.98 (gm),6.81 (gm),962.39 (mg),2.41 (gm),1.67 (gm),0.0 (gm),3.98 (gm),4.18 (gm),0.0 (mg),74.34 (mg),31.88 (mg),220.51 (mg),3.28 (mg),0.88 (mg),96.0 (mg),747.75 (ug),21.59 (mg),0.42 (mg),0.07 (mg),3.17 (mg),0.21 (mg),275.41 (ug),0.0 (ug),0.0 (ug),0.5 (mg),31.08 (ug)
0,Palak Biryani || JHDB,Rice based Dishes,Rice based Dishes,447.38 (kcal/24 H),13.43 (gm),71.7 (gm),3.58 (gm),10.82 (gm),307.07 (mg),5.55 (gm),1.89 (gm),0.0 (gm),5.36 (gm),5.03 (gm),0.0 (mg),190.8 (mg),118.0 (mg),814.66 (mg),7.11 (mg),1.68 (mg),172.81 (mg),2608.45 (ug),59.58 (mg),0.57 (mg),0.26 (mg),4.46 (mg),0.41 (mg),485.43 (ug),0.0 (ug),0.0 (ug),3.95 (mg),435.74 (ug)
0,Kheema Pulao || JHDB,Rice based Dishes,Rice based Dishes,634.67 (kcal/24 H),27.93 (gm),73.4 (gm),5.47 (gm),21.6 (gm),324.22 (mg),4.89 (gm),8.02 (gm),0.9 (gm),13.0 (gm),4.19 (gm),59.13 (mg),108.37 (mg),59.84 (mg),600.76 (mg),6.38 (mg),4.35 (mg),249.79 (mg),240.84 (ug),98.32 (mg),0.55 (mg),0.21 (mg),7.11 (mg),0.55 (mg),328.46 (ug),1.62 (ug),0.06 (ug),0.9 (mg),14.11 (ug)
0,Masala Khichdi (Mix Veggies) || JHDB,Rice based Dishes,Rice based Dishes,399.1 (kcal/24 H),9.17 (gm),66.68 (gm),10.49 (gm),14.39 (gm),495.44 (mg),12.31 (gm),4.47 (gm),0.01 (gm),2.13 (gm),0.69 (gm),16.37 (mg),142.19 (mg),108.71 (mg),846.11 (mg),4.42 (mg),1.75 (mg),216.94 (mg),319.76 (ug),69.44 (mg),0.32 (mg),0.16 (mg),2.11 (mg),0.4 (mg),244.85 (ug),0.0 (ug),0.0 (ug),1.15 (mg),16.22 (ug)
0,Bengali Khichdi || JHDB,Rice based Dishes,Rice based Dishes,687.63 (kcal/24 H),14.34 (gm),117.19 (gm),9.24 (gm),25.39 (gm),312.49 (mg),19.05 (gm),8.2 (gm),0.01 (gm),4.01 (gm),0.94 (gm),32.75 (mg),136.45 (mg),81.26 (mg),900.89 (mg),5.38 (mg),1.58 (mg),192.08 (mg),222.76 (ug),82.9 (mg),0.51 (mg),0.14 (mg),4.58 (mg),0.66 (mg),253.61 (ug),0.0 (ug),0.0 (ug),0.71 (mg),18.76 (ug)
0,Mughlai Biryani || JHDB,Rice based Dishes,Rice based Dishes,543.0 (kcal/24 H),19.42 (gm),78.53 (gm),7.28 (gm),14.44 (gm),597.57 (mg),7.53 (gm),8.0 (gm),0.01 (gm),6.57 (gm),2.14 (gm),27.76 (mg),157.13 (mg),100.51 (mg),756.98 (mg),5.46 (mg),1.9 (mg),232.13 (mg),138.87 (ug),29.43 (mg),0.51 (mg),0.21 (mg),4.28 (mg),0.51 (mg),265.89 (ug),0.06 (ug),0.13 (ug),2.06 (mg),10.58 (ug)
0,Jaggery Rice || JHDB,Rice based Dishes,Rice based Dishes,616.8 (kcal/24 H),8.36 (gm),133.6 (gm),64.68 (gm),6.28 (gm),175.07 (mg),3.42 (gm),1.34 (gm),0.01 (gm),3.18 (gm),3.24 (gm),0.0 (mg),86.59 (mg),42.05 (mg),213.7 (mg),1.54 (mg),1.05 (mg),105.7 (mg),2.88 (ug),0.24 (mg),0.07 (mg),0.06 (mg),1.43 (mg),0.17 (mg),8.23 (ug),0.0 (ug),0.0 (ug),1.45 (mg),17.1 (ug)
0,Basmati Rice (Cooked) || JHDB,Rice based Dishes,Rice based Dishes,284.7 (kcal/24 H),0.7 (gm),60.11 (gm),0.09 (gm),6.64 (gm),299.38 (mg),1.01 (gm),0.17 (gm),0.0 (gm),0.23 (gm),0.21 (gm),0.0 (mg),50.82 (mg),24.31 (mg),92.16 (mg),3.37 (mg),0.86 (mg),89.7 (mg),0.0 (ug),0.0 (mg),0.45 (mg),0.04 (mg),3.27 (mg),0.13 (mg),301.86 (ug),0.0 (ug),0.0 (ug),0.09 (mg),0.08 (ug)
0,Kerala Biryani || JHDB,Rice based Dishes,Rice based Dishes,999.22 (kcal/24 H),49.85 (gm),128.08 (gm),18.11 (gm),16.58 (gm),341.74 (mg),12.86 (gm),28.71 (gm),0.01 (gm),9.87 (gm),7.27 (gm),0.0 (mg),162.37 (mg),149.74 (mg),1003.85 (mg),5.85 (mg),3.32 (mg),385.32 (mg),1325.99 (ug),68.87 (mg),0.27 (mg),0.25 (mg),4.08 (mg),0.5 (mg),74.08 (ug),0.0 (ug),0.0 (ug),3.17 (mg),61.94 (ug)
0,Kashmiri Biryani || JHDB,Rice based Dishes,Rice based Dishes,303.64 (kcal/24 H),12.34 (gm),42.92 (gm),3.22 (gm),6.78 (gm),199.39 (mg),4.02 (gm),5.91 (gm),0.0 (gm),4.36 (gm),1.1 (gm),21.64 (mg),117.02 (mg),57.02 (mg),349.39 (mg),3.38 (mg),1.32 (mg),134.11 (mg),735.91 (ug),15.57 (mg),0.32 (mg),0.11 (mg),2.56 (mg),0.22 (mg),178.48 (ug),0.06 (ug),0.01 (ug),0.51 (mg),13.57 (ug)
0,Paneer Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,187.21 (kcal/24 H),8.6 (gm),22.5 (gm),1.09 (gm),6.86 (gm),302.2 (mg),3.9 (gm),4.68 (gm),0.18 (gm),2.2 (gm),0.7 (gm),22.16 (mg),114.53 (mg),34.9 (mg),162.45 (mg),1.21 (mg),0.86 (mg),94.05 (mg),74.3 (ug),12.14 (mg),0.09 (mg),0.06 (mg),1.58 (mg),0.07 (mg),9.11 (ug),0.0 (ug),0.0 (ug),0.24 (mg),1.41 (ug)
0,Mooli Paratha (Punjabi Style) || JHDB,Rotis & Parathas,Rotis & Parathas,362.1 (kcal/24 H),10.05 (gm),65.19 (gm),1.76 (gm),8.61 (gm),486.09 (mg),11.73 (gm),4.66 (gm),0.0 (gm),2.82 (gm),1.98 (gm),16.92 (mg),36.3 (mg),105.0 (mg),412.88 (mg),3.52 (mg),2.61 (mg),284.47 (mg),176.78 (ug),36.88 (mg),0.27 (mg),0.18 (mg),4.8 (mg),0.23 (mg),28.31 (ug),0.0 (ug),0.0 (ug),1.12 (mg),6.69 (ug)
0,Aloo Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,171.79 (kcal/24 H),4.59 (gm),30.71 (gm),1.03 (gm),3.87 (gm),199.02 (mg),4.79 (gm),1.27 (gm),0.0 (gm),1.6 (gm),1.53 (gm),3.23 (mg),18.15 (mg),45.68 (mg),388.54 (mg),1.54 (mg),0.96 (mg),121.02 (mg),28.33 (ug),23.51 (mg),0.13 (mg),0.07 (mg),2.08 (mg),0.25 (mg),17.79 (ug),0.0 (ug),0.0 (ug),0.54 (mg),5.81 (ug)
0,Methi Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,125.03 (kcal/24 H),3.22 (gm),22.63 (gm),0.57 (gm),3.19 (gm),87.99 (mg),3.88 (gm),0.49 (gm),0.0 (gm),1.17 (gm),1.43 (gm),0.0 (mg),22.1 (mg),37.69 (mg),174.17 (mg),1.36 (mg),0.88 (mg),100.53 (mg),18.51 (ug),14.49 (mg),0.1 (mg),0.09 (mg),1.66 (mg),0.1 (mg),9.13 (ug),0.0 (ug),0.0 (ug),0.49 (mg),10.43 (ug)
0,Gobi Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,129.54 (kcal/24 H),2.45 (gm),25.62 (gm),1.01 (gm),3.68 (gm),81.1 (mg),4.9 (gm),1.2 (gm),0.0 (gm),0.6 (gm),0.47 (gm),4.23 (mg),22.0 (mg),42.59 (mg),221.46 (mg),1.47 (mg),1.03 (mg),115.97 (mg),44.97 (ug),20.95 (mg),0.11 (mg),0.08 (mg),1.89 (mg),0.12 (mg),23.8 (ug),0.0 (ug),0.0 (ug),0.31 (mg),5.2 (ug)
0,Palak Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,140.49 (kcal/24 H),5.31 (gm),21.87 (gm),0.39 (gm),3.38 (gm),104.72 (mg),4.19 (gm),0.78 (gm),0.0 (gm),2.04 (gm),2.29 (gm),0.07 (mg),31.62 (mg),50.63 (mg),235.51 (mg),1.66 (mg),0.95 (mg),102.19 (mg),625.96 (ug),6.25 (mg),0.1 (mg),0.1 (mg),1.67 (mg),0.1 (mg),51.03 (ug),0.0 (ug),0.0 (ug),1.15 (mg),113.35 (ug)
0,Onion Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,359.24 (kcal/24 H),8.26 (gm),68.03 (gm),2.51 (gm),8.88 (gm),292.6 (mg),12.48 (gm),1.3 (gm),0.0 (gm),2.97 (gm),3.66 (gm),0.0 (mg),49.78 (mg),104.58 (mg),427.3 (mg),3.78 (mg),2.62 (mg),287.54 (mg),93.5 (ug),2.89 (mg),0.27 (mg),0.18 (mg),4.69 (mg),0.23 (mg),30.99 (ug),0.0 (ug),0.0 (ug),1.57 (mg),10.15 (ug)
0,Peas Paratha Recipe || JHDB,Rotis & Parathas,Rotis & Parathas,398.74 (kcal/24 H),9.82 (gm),71.1 (gm),5.23 (gm),11.79 (gm),655.26 (mg),14.41 (gm),1.47 (gm),0.0 (gm),3.59 (gm),4.34 (gm),0.0 (mg),52.97 (mg),119.47 (mg),540.38 (mg),4.29 (mg),3.18 (mg),332.44 (mg),201.95 (ug),60.65 (mg),0.41 (mg),0.25 (mg),5.7 (mg),0.3 (mg),65.35 (ug),0.0 (ug),0.0 (ug),1.54 (mg),28.87 (ug)
0,Plain Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,336.65 (kcal/24 H),7.87 (gm),63.16 (gm),0.86 (gm),8.15 (gm),390.32 (mg),11.11 (gm),1.22 (gm),0.0 (gm),2.84 (gm),3.55 (gm),0.0 (mg),29.42 (mg),99.43 (mg),334.29 (mg),3.16 (mg),2.51 (mg),273.9 (mg),2.29 (ug),0.0 (mg),0.25 (mg),0.16 (mg),4.53 (mg),0.16 (mg),23.74 (ug),0.0 (ug),0.0 (ug),1.18 (mg),8.94 (ug)
0,Masala Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,580.63 (kcal/24 H),19.75 (gm),96.58 (gm),1.49 (gm),12.63 (gm),17.76 (mg),17.3 (gm),7.65 (gm),0.0 (gm),6.23 (gm),4.8 (gm),25.69 (mg),63.95 (mg),153.47 (mg),536.8 (mg),5.39 (mg),3.82 (mg),414.85 (mg),84.94 (ug),0.12 (mg),0.38 (mg),0.24 (mg),6.86 (mg),0.25 (mg),35.87 (ug),0.0 (ug),0.0 (ug),1.65 (mg),11.66 (ug)
0,Cheese Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,213.07 (kcal/24 H),9.67 (gm),27.18 (gm),1.33 (gm),6.89 (gm),217.63 (mg),4.79 (gm),5.14 (gm),0.08 (gm),2.7 (gm),1.15 (gm),19.48 (mg),149.49 (mg),47.8 (mg),198.74 (mg),1.46 (mg),1.61 (mg),198.6 (mg),87.23 (ug),27.95 (mg),0.12 (mg),0.13 (mg),2.79 (mg),0.11 (mg),16.34 (ug),0.26 (ug),0.03 (ug),0.45 (mg),6.61 (ug)
0,Malabar Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,163.06 (kcal/24 H),4.53 (gm),27.78 (gm),0.83 (gm),3.59 (gm),250.68 (mg),2.86 (gm),0.65 (gm),0.0 (gm),1.74 (gm),1.93 (gm),0.0 (mg),16.56 (mg),25.73 (mg),101.81 (mg),1.52 (mg),0.67 (mg),85.31 (mg),0.49 (ug),0.0 (mg),0.19 (mg),0.12 (mg),2.02 (mg),0.04 (mg),56.97 (ug),0.0 (ug),0.0 (ug),0.58 (mg),5.11 (ug)
0,Lachha Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,561.05 (kcal/24 H),14.0 (gm),96.47 (gm),0.0 (gm),13.6 (gm),390.66 (mg),0.0 (gm),7.38 (gm),0.0 (gm),3.46 (gm),0.47 (gm),30.84 (mg),25.75 (mg),33.63 (mg),170.52 (mg),7.02 (mg),0.9 (mg),134.78 (mg),59.07 (ug),0.0 (mg),1.17 (mg),0.55 (mg),8.41 (mg),0.09 (mg),0.0 (ug),0.0 (ug),0.0 (ug),0.0 (mg),0.0 (ug)
0,Dal Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,1134.28 (kcal/24 H),19.98 (gm),213.2 (gm),16.31 (gm),40.17 (gm),43.04 (mg),38.68 (gm),7.58 (gm),0.0 (gm),4.79 (gm),5.38 (gm),25.99 (mg),184.18 (mg),320.53 (mg),1636.41 (mg),11.88 (mg),8.59 (mg),894.48 (mg),154.82 (ug),62.7 (mg),1.09 (mg),0.61 (mg),12.02 (mg),1.03 (mg),625.83 (ug),0.0 (ug),0.0 (ug),2.0 (mg),16.06 (ug)
0,Aloo Gobi Paratha || JHDB,Rotis & Parathas,Rotis & Parathas,525.71 (kcal/24 H),10.78 (gm),101.34 (gm),3.91 (gm),14.05 (gm),317.65 (mg),17.6 (gm),4.87 (gm),0.0 (gm),2.91 (gm),2.3 (gm),16.92 (mg),67.79 (mg),158.52 (mg),1026.07 (mg),5.26 (mg),3.68 (mg),431.83 (mg),177.73 (ug),85.55 (mg),0.43 (mg),0.29 (mg),7.15 (mg),0.62 (mg),86.64 (ug),0.0 (ug),0.0 (ug),1.3 (mg),19.63 (ug)
0,Naan Roti || JHDB,Rotis & Parathas,Rotis & Parathas,141.2 (kcal/24 H),3.83 (gm),22.79 (gm),0.67 (gm),3.89 (gm),317.88 (mg),0.96 (gm),0.5 (gm),0.0 (gm),1.61 (gm),1.46 (gm),0.4 (mg),54.69 (mg),13.72 (mg),67.83 (mg),1.72 (mg),0.29 (mg),52.62 (mg),7.62 (ug),0.15 (mg),0.05 (mg),0.02 (mg),0.44 (mg),0.02 (mg),7.42 (ug),0.0 (ug),0.0 (ug),0.45 (mg),3.86 (ug)
0,Garlic Naan || JHDB,Rotis & Parathas,Rotis & Parathas,480.2 (kcal/24 H),15.82 (gm),76.58 (gm),2.82 (gm),10.61 (gm),639.72 (mg),8.22 (gm),2.23 (gm),0.0 (gm),6.29 (gm),6.58 (gm),0.0 (mg),50.6 (mg),74.2 (mg),293.44 (mg),5.06 (mg),1.94 (mg),224.73 (mg),7.15 (ug),2.19 (mg),0.63 (mg),0.37 (mg),5.79 (mg),0.19 (mg),172.15 (ug),0.0 (ug),0.0 (ug),1.98 (mg),17.7 (ug)
0,Roti  /Phulka / Chapati || JHDB,Rotis & Parathas,Rotis & Parathas,105.58 (kcal/24 H),0.62 (gm),23.68 (gm),0.32 (gm),3.06 (gm),1.35 (mg),4.17 (gm),0.14 (gm),0.0 (gm),0.09 (gm),0.37 (gm),0.0 (mg),12.89 (mg),37.61 (mg),125.49 (mg),1.18 (mg),0.94 (mg),102.71 (mg),0.86 (ug),0.0 (mg),0.09 (mg),0.06 (mg),1.7 (mg),0.06 (mg),8.9 (ug),0.0 (ug),0.0 (ug),0.17 (mg),0.6 (ug)
0,Roomali Roti || JHDB,Rotis & Parathas,Rotis & Parathas,191.33 (kcal/24 H),5.34 (gm),30.17 (gm),0.13 (gm),4.98 (gm),388.95 (mg),1.0 (gm),0.74 (gm),0.0 (gm),2.01 (gm),2.22 (gm),0.0 (mg),9.68 (mg),10.94 (mg),41.95 (mg),1.85 (mg),0.36 (mg),40.35 (mg),0.25 (ug),0.0 (mg),0.34 (mg),0.21 (mg),3.14 (mg),0.02 (mg),119.81 (ug),0.0 (ug),0.0 (ug),0.71 (mg),5.61 (ug)
0,Masaledar Poori || JHDB,Rotis & Parathas,Rotis & Parathas,86.8 (kcal/24 H),2.08 (gm),16.22 (gm),0.26 (gm),2.18 (gm),201.74 (mg),2.99 (gm),0.32 (gm),0.0 (gm),0.76 (gm),0.92 (gm),0.1 (mg),12.67 (mg),26.87 (mg),96.99 (mg),1.04 (mg),0.66 (mg),71.12 (mg),21.47 (ug),0.05 (mg),0.07 (mg),0.04 (mg),1.17 (mg),0.05 (mg),6.06 (ug),0.0 (ug),0.0 (ug),0.39 (mg),2.66 (ug)
0,Bhatura Recipe || JHDB,Rotis & Parathas,Rotis & Parathas,174.87 (kcal/24 H),3.51 (gm),31.74 (gm),1.2 (gm),5.82 (gm),261.7 (mg),4.42 (gm),0.53 (gm),0.0 (gm),1.27 (gm),1.56 (gm),1.08 (mg),27.24 (mg),39.61 (mg),135.55 (mg),1.65 (mg),1.01 (mg),117.86 (mg),0.86 (ug),0.0 (mg),0.17 (mg),0.11 (mg),2.25 (mg),0.06 (mg),36.14 (ug),0.0 (ug),0.0 (ug),0.5 (mg),3.93 (ug)
0,Poori / Puri || JHDB,Rotis & Parathas,Rotis & Parathas,43.97 (kcal/24 H),0.7 (gm),8.94 (gm),0.12 (gm),1.15 (gm),78.0 (mg),1.57 (gm),0.12 (gm),0.0 (gm),0.23 (gm),0.33 (gm),0.0 (mg),4.73 (mg),14.16 (mg),47.36 (mg),0.45 (mg),0.36 (mg),38.76 (mg),0.32 (ug),0.0 (mg),0.04 (mg),0.02 (mg),0.64 (mg),0.02 (mg),3.36 (ug),0.0 (ug),0.0 (ug),0.12 (mg),0.78 (ug)
0,Tandoori Roti || JHDB,Rotis & Parathas,Rotis & Parathas,93.15 (kcal/24 H),1.1 (gm),19.74 (gm),0.27 (gm),2.55 (gm),194.88 (mg),3.47 (gm),0.19 (gm),0.0 (gm),0.32 (gm),0.55 (gm),0.0 (mg),10.66 (mg),31.31 (mg),104.6 (mg),0.99 (mg),0.79 (mg),85.59 (mg),0.72 (ug),0.0 (mg),0.08 (mg),0.05 (mg),1.42 (mg),0.05 (mg),7.42 (ug),0.0 (ug),0.0 (ug),0.21 (mg),1.19 (ug)
0,Missi Roti || JHDB,Rotis & Parathas,Rotis & Parathas,492.55 (kcal/24 H),13.26 (gm),81.95 (gm),6.04 (gm),16.1 (gm),803.93 (mg),14.58 (gm),1.89 (gm),0.0 (gm),4.65 (gm),5.77 (gm),0.81 (mg),42.78 (mg),100.1 (mg),675.91 (mg),3.21 (mg),2.45 (mg),270.13 (mg),56.04 (ug),37.64 (mg),0.26 (mg),0.17 (mg),4.44 (mg),0.21 (mg),29.02 (ug),0.0 (ug),0.0 (ug),1.63 (mg),14.73 (ug)
0,Akki Roti || JHDB,Rotis & Parathas,Rotis & Parathas,632.27 (kcal/24 H),33.03 (gm),81.09 (gm),7.47 (gm),8.82 (gm),394.61 (mg),9.35 (gm),25.09 (gm),0.0 (gm),2.46 (gm),2.41 (gm),1.95 (mg),47.71 (mg),46.15 (mg),379.96 (mg),3.96 (mg),0.89 (mg),114.47 (mg),2182.34 (ug),78.57 (mg),0.18 (mg),0.08 (mg),2.73 (mg),0.51 (mg),24.81 (ug),0.0 (ug),0.0 (ug),1.22 (mg),25.55 (ug)
0,Makki Ki Roti || JHDB,Rotis & Parathas,Rotis & Parathas,309.87 (kcal/24 H),7.67 (gm),55.3 (gm),0.55 (gm),4.04 (gm),262.21 (mg),1.27 (gm),4.21 (gm),0.0 (gm),2.08 (gm),0.72 (gm),17.73 (mg),9.17 (mg),12.81 (mg),62.2 (mg),0.61 (mg),0.25 (mg),40.0 (mg),75.93 (ug),0.03 (mg),0.05 (mg),0.04 (mg),1.77 (mg),0.07 (mg),32.0 (ug),0.0 (ug),0.0 (ug),0.1 (mg),0.2 (ug)
0,Rice Puri || JHDB,Rotis & Parathas,Rotis & Parathas,104.28 (kcal/24 H),2.24 (gm),19.17 (gm),0.08 (gm),1.45 (gm),78.4 (mg),0.61 (gm),0.35 (gm),0.0 (gm),0.91 (gm),0.86 (gm),0.0 (mg),9.0 (mg),9.88 (mg),21.95 (mg),0.13 (mg),0.2 (mg),24.35 (mg),0.0 (ug),0.05 (mg),0.03 (mg),0.01 (mg),0.63 (mg),0.1 (mg),0.96 (ug),0.0 (ug),0.0 (ug),0.25 (mg),2.2 (ug)
0,Ragi Roti || JHDB,Rotis & Parathas,Rotis & Parathas,100.22 (kcal/24 H),2.17 (gm),18.24 (gm),0.35 (gm),2.52 (gm),156.43 (mg),1.67 (gm),0.93 (gm),0.0 (gm),0.55 (gm),0.57 (gm),3.38 (mg),8.0 (mg),29.29 (mg),69.3 (mg),0.94 (mg),0.67 (mg),72.63 (mg),6.71 (ug),0.0 (mg),0.09 (mg),0.03 (mg),1.41 (mg),0.07 (mg),9.04 (ug),0.0 (ug),0.0 (ug),0.06 (mg),0.29 (ug)
0,Besan Ladoo || JHDB,Sweets,Sweets,163.9 (kcal/24 H),9.71 (gm),16.93 (gm),10.07 (gm),3.23 (gm),9.27 (mg),1.53 (gm),5.24 (gm),0.0 (gm),2.85 (gm),0.79 (gm),21.15 (mg),1.46 (mg),3.15 (mg),125.41 (mg),0.1 (mg),0.07 (mg),5.79 (mg),40.51 (ug),0.04 (mg),0.0 (mg),0.0 (mg),0.02 (mg),0.0 (mg),0.72 (ug),0.0 (ug),0.0 (ug),0.01 (mg),0.37 (ug)
0,Carrot Halwa | Gajar Ka Halwa || JHDB,Sweets,Sweets,335.01 (kcal/24 H),16.35 (gm),42.93 (gm),36.29 (gm),7.38 (gm),139.58 (mg),3.54 (gm),8.66 (gm),0.0 (gm),4.92 (gm),1.08 (gm),41.76 (mg),249.26 (mg),46.3 (mg),651.5 (mg),0.64 (mg),1.17 (mg),231.0 (mg),5524.42 (ug),6.49 (mg),0.18 (mg),0.33 (mg),1.37 (mg),0.26 (mg),23.36 (ug),0.9 (ug),1.83 (ug),1.34 (mg),15.78 (ug)
0,Rasgulla || JHDB,Sweets,Sweets,122.76 (kcal/24 H),1.78 (gm),25.05 (gm),24.88 (gm),1.85 (gm),22.34 (mg),0.01 (gm),1.03 (gm),0.0 (gm),0.38 (gm),0.06 (gm),6.64 (mg),74.85 (mg),7.9 (mg),86.15 (mg),0.02 (mg),0.23 (mg),56.31 (mg),17.75 (ug),1.16 (mg),0.03 (mg),0.08 (mg),0.06 (mg),0.03 (mg),0.48 (ug),0.3 (ug),0.61 (ug),0.03 (mg),0.17 (ug)
